;Title;Tags;Author;Text;Date
311;Covid hotline prepared for post-Songkran Covid cases;['THAILAND'];Mongkol Bangprapa;» The National Health Security Office (NHSO) has prepared its hotline system to cope with the Covid-19 situation after the Songkran festival.;2022-04-05
312;Vietnam police detain ex-Bamboo Airways chairman’s aide in probe;['BUSINESS'];Bloomberg News;» Vietnam police detained the aide to Bamboo Airways former Chairman Trinh Van Quyet as part of a widening probe in alleged stock manipulation at real estate developer FLC Group, which he founded.;2022-04-05
313;Exports may grow 5% amid Ukraine war;['BUSINESS'];;» Thai exports are expected to rise by 5% this year, compared with a previous forecast of 5% to 8% growth, due to uncertainty over the Russia-Ukraine war, the Thai National Shippers' Council (TNSC) reported on Tuesday.;2022-04-05
314;World Bank cuts Thai growth outlook to 2.9% this year;['BUSINESS'];Reuters;» Thailand's economy is expected to grow 2.9% this year, down from a prediction of 3.9% seen in December, the World Bank said on Tuesday.;2022-04-05
315;Military sent to test Shanghai’s 26m residents;['WORLD'];;» As the highly infectious Omicron variant continues to spread in China’s most populous city, more than 38,000 medical personnel from across the armed forces and the healthcare profession have arrived in Shanghai to test its 26 million residents. - REUTERS;2022-04-05
316;Ecuador banana industry slips over war in Ukraine;['WORLD'];AFP;» EL TRIUNFO (ECUADOR) - Until recently, the incessant bustle of Ecuadoran banana plantations provided evidence of the industry's robust export business. But from one week to the next, the groves have fallen silent -- trade victims to a conflict half a world away.;2022-04-05
317;US, Britain to seek Russia's suspension from UN Rights Council;['WORLD'];AFP;» UNITED NATIONS (US): The United States and Britain announced plans Monday to seek Russia's suspension from the UN Human Rights Council following allegations that Russian troops systematically executed civilians in Bucha, Ukraine.;2022-04-05
318;Hospitals join NHSO scheme;['THAILAND'];News;» Over 100 private hospitals have reportedly joined Covid-19 self-treatment programmes under the universal health coverage plan to help patients with mild symptoms recover at home.;2022-04-05
319;Subs deal at risk: PM;['ADVANCED NEWS'];Gary Boyle;» A huge submarine deal faces the axe if China is unable to fit the engines specified in the purchase agreement, warned Prime Minister Prayut Chan-o-cha on Monday.;2022-04-05
320;New Covid cases fall to 21,088 Tuesday, 91 deaths;['THAILAND'];Online Reporters;» The country registered 91 more Covid-19 fatalities and 21,088 new cases during the previous 24 hours, the Public Health Ministry announced on Tuesday morning.;2022-04-05
321;Solve your shopping for premium food products problems with Passion Delivery;['THAILAND'];;» We understand how people love visiting food markets to select luscious foods. However, it can be frustrating having to trek across town or suffer bad traffic just to buy quality ingredients and locally produced foods that we can’t find in the local supermarket. That’s why Passion Delivery was born.;2022-04-05
322;Metaverse a tool for gender inclusivity;['TECH'];News;» Speakers and attendees preparing for the forthcoming metaverse and related technologies event in Phuket are hopeful they can shine a light on the path to a more gender inclusive society.;2022-04-05
323;James Foley's mother, brother testify at trial of IS 'Beatle';['WORLD'];AFP;"» ALEXANDRIA (UNITED STATES) - The mother of slain American journalist James Foley said Monday at the trial of one of his alleged Islamic State captors that she initially hoped reports her son had been executed were ""some cruel joke.""";2022-04-05
324;Satellite images show bodies in Bucha for weeks, rebutting Moscow claim;['WORLD'];AFP;» WASHINGTON: Satellite photographs released on Monday appear to rebut Russian assertions that dead bodies in civilian clothing found in Bucha had appeared there after Russian forces retreated from the devastated Ukrainian town.;2022-04-05
325;Starbucks interim CEO Schultz to suspend share buyback programme;['BUSINESS'];AFP;» NEW YORK - The newly installed interim chief executive of Starbucks Howard Schultz announced Monday he will suspend a share repurchase programme as the chain navigates a challenging landscape amid a growing unionisation push.;2022-04-05
326;Sri Lanka opposition rejects unity offer, demands president resign;['WORLD'];AFP;"» COLOMBO - Sri Lanka's opposition on Monday dismissed President Gotabaya Rajapaksa's invitation to join a unity government as ""nonsensical"" and instead demanded he resign over the country's worsening shortages of food, fuel and medicines.";2022-04-05
327;Fly less? Go vegan? How people can take climate action;['SPORTS'];AFP;» PARIS - Individuals along with economy-wide efficiencies can make a major difference in the drive to avert the worst of global warming, UN climate experts say, estimating that sharp cuts to demand for energy-guzzling services could slash emissions up to 70 percent by 2050.;2022-04-05
328;Milan's lead cut to a point as title race heads towards thrilling climax;['SPORTS'];AFP;» MILAN: AC Milan lead Serie A by a single point after failing to get past mid-table Bologna on Monday, a goalless draw the latest twist in a thrilling title race which looks to be heading to the wire.;2022-04-05
329;Grammy for disgraced comic Louis C.K. triggers backlash;['LIFE'];AFP;» LOS ANGELES: Louis C.K. and the Recording Academy faced a backlash Monday after the US comedian was awarded a Grammy, five years after sexual misconduct revelations temporarily derailed his high-flying career.;2022-04-05
330;PASSION & PERFORMANCE: MONSOON VALLEY CREATES WINNING PARTNERSHIP WITH THAILAND’S F1 DRIVER, ALEX ALBON;['THAILAND'];;» As Monsoon Valley Brand Ambassador, Alex will proudly display the company’s logo on his racing helmet and overalls as he embarks on his first season with the historic Williams Racing F1 team.;2022-04-05
331;Ex-uni rector claims police intimidation;['THAILAND'];News;» Former Thammasat University rector, Charnvit Kasetsiri, has called on the national police chief to investigate several off-duty policemen over harassment allegations.;2022-04-05
332;PTT poised to sell mining business in Indonesia;['BUSINESS'];Business;» National oil and gas conglomerate PTT Plc expects to sell its coal mining business in Indonesia within the first half of this year as the company plans to focus more on clean energy and mobility.;2022-04-05
333;Tiger-mania builds as Woods practices well at Augusta;['WORLD'];AFP;» AUGUSTA (UNITED STATES) - Tiger Woods practiced before thousands of supportive spectators on Monday at Augusta National ahead of the 86th Masters, where he hopes to make his first start since a car crash 14 months ago left him with severe right leg injuries.;2022-04-05
334;TAT teams up with Thai AirAsia in push for tours;['BUSINESS'];Business;» The Tourism Authority of Thailand (TAT) aims to attract 1.75 million tourists from short-haul markets this year as more countries reopen, and will partner with Thai AirAsia (TAA) to bring in at least 18,000 package tours over the next few months.;2022-04-05
335;NT Recruitment Notice for President;['THAILAND'];;» National Telecom Public Company Limited (NT) as the state-owned enterprise in resolution of the Ministry of Finance as shareholder, under the directive of the Ministry of Digital Economy and Society (MDES), and core entity in mobility and enhancement of communications and digital to the country for sustainable business, calls for new applicants for its President position.;2022-04-05
336;Agencies urged to speed up ELV measures;['BUSINESS'];Business;» Prime Minister Prayut Chan-o-cha has ordered responsible agencies to speed up offering incentives and measures to encourage motorists to scrap their ageing vehicles in a bid to reduce ultra-fine dust particles known as PM2.5 and tackle ongoing expensive steel prices.;2022-04-05
337;Tiger-mania building as Woods practices at Augusta;['SPORTS'];AFP;» AUGUSTA: Tiger Woods practiced before thousands of supportive spectators on Monday at Augusta National ahead of the 86th Masters, where he hopes to make his first start since a car crash 14 months ago left him with severe right leg injuries.;2022-04-05
338;Telecom investors approve merger;['BUSINESS'];Business;» Shareholders of True Corporation and Total Access Communication (Dtac) have overwhelmingly approved the planned amalgamation of the two telecom operators, a major step towards their anticipated merger in the second half of this year.;2022-04-05
339;Subs deal at risk: PM;['THAILAND'];News;» A huge government-to-government submarine procurement deal faces the axe, if China is unable to fit the engines specified in the purchase agreement, warned Prime Minister Prayut Chan-o-cha on Monday.;2022-04-05
340;Cybersecurity solution rolled out;['BUSINESS'];Business;» Cyber Elite, a subsidiary of digital solutions provider Benchachinda Group, has enlisted the cybersecurity power of Menlo Security Inc to launch the first managed cloud cybersecurity platform in Thailand to strengthen enterprises' cyber defence.;2022-04-05
341;GIF seeking loan to handle claims;['BUSINESS'];Business;» The General Insurance Fund (GIF) is seeking a loan from Government Savings Bank in order to pay Covid-19 claims to policyholders of shuttered non-life insurance companies, says a source at the Finance Ministry who requested anonymity.;2022-04-05
342;Sample the best of Australia on LazMall;['LIFE'];Life;"» Good news for lovers of Australian products! The best of Australia is now available at the ""Australian Pavilion"" on Lazada's platform, making it easy for shoppers to access their favourite items right at their fingertips.";2022-04-05
343;Hello Vietnam;['OPINION'];Oped;"» Re: ""Ensuring avoidance"", (PostBag, March 30) and ""Tourism sentiment in the doldrums"", (Business, March 29).";2022-04-05
344;Former BoT governors offer insights;['BUSINESS'];Business;» Flexibility, maintaining the public's trust and focusing on risk management are among the key factors that will help the Bank of Thailand deal with the challenges in the fast changing landscape and ensure the country's monetary stability, former Bank of Thailand governors said on Monday.;2022-04-05
345;Franck Muller marks 30 years of Haute Horlogerie;['LIFE'];Life;» Five years ago, Franck Muller marked its 25th anniversary by holding the World Presentation of Haute Horlogerie at the Grand Malagny estate, located in the village of Genthod, overlooking Lake Geneva with a magnificent view of the French Alps.;2022-04-05
346;How to survive in a binary world;['OPINION'];Oped;» Like it or not, we are today living in a bifurcated world as never seen before. In the past, the so-called divided world was half real and half imagined, with no clearly defined red line. That gave a lot of room for diplomatic manoeuvring to all countries not wanting to be caught in an unfriendly situation. Today, this room is becoming smaller and more toxic.;2022-04-05
347;Glow into spring with Suqqu;['LIFE'];Life;» Cheeks shine more than ever in Suqqu's spring 2022 looks, fashioned with a new make-up collection.;2022-04-05
348;New unit a 'beacon of hope';['THAILAND'];News;» The Central Investigation Bureau (CIB) and the Department of Mental Health (DMH) on Monday announced they are joining forces to try and reduce the number of suicides that occur each year in Thailand.;2022-04-05
349;Solar power fizzles;['OPINION'];Oped;"» Early this month, Deputy Agriculture Minister Praphat Phothasuthon unveiled an energy-saving project with the fancy name ""Solar Panels NFT for Thai Farmers"".";2022-04-05
350;CEO Pay Increases and Heads for New Record as Pandemic Recedes;['BUSINESS'];Business;» Pay increases for U.S. chief executives have gained steam, putting compensation on pace to set a record amid a tight labor market that is also driving pay higher for many of their workers.;2022-04-05
351;The healing power of art;['LIFE'];Life;» Seated at an easel, a boy put his heart and soul onto blank paper. With bold brush strokes, he painted a red house with six yellow fish. As Tommy put it in Kazuo Ishiguro's Never Let Me Go, art says what is inside of you. Little does anybody know this is part of art therapy for patients with rare diseases.;2022-04-05
352;Covid-19's lessons for democracies;['OPINION'];Oped;» For more than two years, Covid-19 has taken lives, destroyed livelihoods, disrupted daily routines and dominated political discussion around the world. As the acute phase of the pandemic comes to an end, we must evaluate what Covid-19 has revealed about the ability of democratic systems to respond to such emergencies.;2022-04-05
353;Running events are back nationwide;['LIFE'];Life;"» The ""Olympic Day Walk-Run 2022"" is back with three running events to promote good health in people of all ages and genders in three regions of Thailand, starting with Nong Khai in the Northeast on April 30 at 5pm.";2022-04-05
354;Stranger things happening in our strange land;['OPINION'];Oped;» Strange things are happening in Thailand. Who would believe we would be experiencing a bout of cold and rain in April? But here we are, wrapping ourselves up in thick clothes at the height of summer just a week before Songkran.;2022-04-05
355;New study suggests resistance training helps sleep;['LIFE'];Life;» DEAR DOCTORS: I sometimes have trouble sleeping. I've tried running, which helps with stress, but not with sleep. My husband says he just heard on the news that weightlifting is supposed to be good for sleep. Do you know if this is true?;2022-04-05
356;DO NOT USE / More arrests pending in extortion case;['THAILAND'];News;» More arrests soon in extortion case;2022-04-05
357;Temple embezzler says funds 'gift';['THAILAND'];News;» The alleged embezzler of some 190 million baht intended for the renovation of Wat Bowonniwet Vihara has denied the charges levelled against him, saying the money was given to him as as a gift, Central Investigation Bureau (CIB) commissioner Pol Lt Gen Jirabhop Bhuridet said yesterday.;2022-04-05
358;Blood test rule urged for drink driving;['THAILAND'];News;» The Public Health Ministry will push for a rule to allow blood tests for alcohol on motorists who cannot take a breathalyser test as part of an effort to curb drink-driving.;2022-04-05
359;State urged to extend subsidies;['BUSINESS'];Business;"» The Thai Chamber of Commerce has asked the government to continue the ""Khon La Khrueng"" co-payment subsidies until the end of 2022, end the Test & Go scheme, and quickly reclassify Covid-19 as endemic to boost growth and tamp down signs of stagflation.";2022-04-05
360;Fetco upbeat on second half;['BUSINESS'];Business;» The Federation of Thai Capital Market Organizations (Fetco) said the economy will recover in the second half, expecting the Russia-Ukraine conflict to be resolved and oil prices to decline.;2022-04-05
361;Car bookings surge 13.6% at annual Bangkok motor show;['NEWS'];Business;» Car bookings at the 43rd Bangkok International Motor Show, which ended on Sunday, rose by 13.6% to 33,936 units, with electric vehicles (EVs) attracting interest from motorists following the government's EV incentive package.;2022-04-05
362;Chaiwut rejects military party claims;['THAILAND'];News;» Deputy Palang Pracharath Party (PPRP) leader Chaiwut Thanakamanusorn has refuted criticism that the ruling party will become a military party after two former senior military officers were elected as part of its executive committee.;2022-04-05
363;Police nab coach for raping young boys;['THAILAND'];News;» A skipping rope coach has been charged with raping at least three boys in Chon Buri, according to the Thailand Internet Crimes Against Children (TICAC) Task Force.;2022-04-05
364;Back-to-back podium finishes for Somkiat;['SPORTS'];Sports;» BUENOS AIRES: Moto2 rider Somkiat Chantra of Thailand came in second at the Argentina Grand Prix for his second consecutive podium finish on Sunday.;2022-04-05
365;PM urged to probe Seksakol's conduct;['THAILAND'];News;» A Move Forward Party (MFP) MP yesterday called on Prime Minister Prayut Chan-o-cha to launch a probe against his aide Seksakol Atthawong following the release of an audio clip that suggested he might have a vested interest in the government's lottery ticket quota.;2022-04-05
366;New variant 'infects' delivery man;['THAILAND'];News;» A parcel delivery man is suspected of being infected with a new Covid-19 variant never before detected in Thailand, a senior health official said on Monday.;2022-04-05
367;'Tangmo's manager admits giving false statements;['ADVANCED NEWS'];Gary Boyle;"» The manager of Nida ""Tangmo"" Patcharaveerapong has admitted to a false statement charge by the police.";2022-04-05
368;'Tangmo's manager concedes giving false statements;['THAILAND'];Wassayos Ngamkham;» The manager of Nida Patcharaveerapong has admitted to a false statement charge as police target another man believed to have guided all five people on board the vessel from which the actress plunged to her death on how to finesse their statements to authorities.;2022-04-04
369;Elon Musk buys large stake in Twitter, sending stock soaring;['BUSINESS'];AFP;» NEW YORK - Elon Musk has taken a major stake in Twitter, regulatory filings showed Monday, sending the social media network's stock soaring and igniting speculation he could seek an active role in its operations.;2022-04-04
370;Indonesian teacher sentenced to death for raping 13 students;['WORLD'];AFP;» An Indonesian teacher found guilty of raping 13 students at an Islamic boarding school, and who impregnated at least eight of the victims, was sentenced to death on Monday.;2022-04-04
371;Ngern Tid Lor reaffirms its leading innovative financial solution for lower income customers;['THAILAND'];;» Ngern Tid Lor Public Company Limited’s stance as Thailand’s leading financial innovation enterprise has been reconfirmed by the issuance of 300,000 “TIDLOR Cards” for lower income customers.;2022-04-04
372;Suspect denies stealing temple funds, says money was 'gift';['THAILAND'];Online Reporters;"» The alleged embezzler of about 190 million baht intended for the renovation of Wat Bowonniwet Vihara has denied the charge, claiming the money was given to him as as a ""gift"", Central Investigation Bureau (CIB) commissioner Pol Lt Gen Jirapop Puridet said on Monday.";2022-04-04
373;Viruses that could save millions of lives;['WORLD'];AFP;» TBILISI: It may seem strange after a pandemic that has killed millions and turned the world upside down, but viruses could save just as many lives.;2022-04-04
374;Huawei and Symphony Communication sign MoU;['THAILAND'];;» Aiming to accelerate Cloud adoption and digital transformation in Thailand;2022-04-04
375;Delivery man may be infected with new XJ Covid variant;['THAILAND'];Online Reporters;» A parcel delivery man may be infected with a new Covid-19 variant never before detected in Thailand, a senior health official said on Monday.;2022-04-04
376;Shanghai defends policy of separating Covid-positive kids from parents;['WORLD'];AFP;» SHANGHAI: Shanghai health officials on Monday defended a policy of separating babies and young children from their parents if they test positive for Covid-19, as frustration at the city's tough virus controls builds.;2022-04-04
377;Police warning: trojan malware in cartoon photo app;['TECH'];Wassayos Ngamkham;» The Royal Thai Police Office has warned mobile phone users that trojan malware that steals users' names and passwords is hidden in a cartoon photo app for android phones.;2022-04-04
378;NT SME Solutions for progressive digital development in Thailand;['BUSINESS'];;» While resurgences of Covid-19 in the form of new variants and intermittent lockdowns have alarmed and hobbled economic recovery with delays, reluctance, and concerns, Thailand is one of the developing countries with a sense of urgency to continue forging ways to meet challenges, move forward and keep on track.;2022-04-04
379;Grammys night: Tributes, digs and a Ukraine moment, but no slaps;['LIFE'];AFP;» LAS VEGAS: Las Vegas hosting the Grammys for the first time ever might have been an opportunity to the music world to scintillate -- but the 64th edition of the industry's most prestigious awards stayed relatively zipped up.;2022-04-04
380;Thai stock investor sentiment at 3-month high as inflows continue;['BUSINESS'];Reuters;» Investor confidence in the Thai stock market has hit a three-month high, bolstered by continued foreign fund inflows and optimism over growth in corporate earning, a capital markets group said on Monday.;2022-04-04
381;New version of MEA EV app available now!;['THAILAND'];;» Free EV charging from now through 30 June 2022!;2022-04-04
382;Sealy Thailand donates to Covid-19 prevention and assistance project of Ramathibodi Foundation;['THAILAND'];;» In light of the suffering caused by the Covid-19 pandemic, Sealy Thailand under Jaspal & Sons Co., Ltd., the authorised manufacturing licensee and distributor of Sealy Posturepedic, has stepped up its efforts to help those affected by providing Covid-19 prevention and assistance support for the Faculty of Medicine, Ramathibodi Hospital and Ramathibodi Foundation under the “SEALY CARES. Supports Your Life” campaign which ran from 25 June 2021 to 31 October 2021.;2022-04-04
383;24,892 new Covid cases, 97 more deaths;['THAILAND'];Online Reporters;» There were 97 more Covid-19 fatalities and 24,892 new cases recorded during the previous 24 hours, the Public Health Ministry reported on Monday.;2022-04-04
384;Myanmar central bank says FX deposits must be converted into local currency;['BUSINESS'];;» Foreign exchange earned by locals in Myanmar must be deposited in accounts at licensed banks and exchanged for the local currency within one working day, the central bank said, as the country's military authorities seek more control over foreign currency flows.;2022-04-04
385;24,892 new Covid cases Monday;['REALLY EASY NEWS'];Gary Boyle;» The country registered 97 more Covid-19 fatalities and 24,892 new cases during the previous 24 hours, the Public Health Ministry announced on Monday morning.;2022-04-04
386;Man paid by fugitive son-in-law to deliver drugs;['THAILAND'];Assawin Pakkawan;» SONGKHLA: A 53-year-old man caught with 300 kilogrammes of crystal methamphetamine in his pickup told police he was being paid to deliver the drugs by his son-in-law and a woman who had both fled to Laos.;2022-04-04
387;TAT rolls out Workation Paradise Throughout Thailand;['THAILAND'];;» Reprised project encourages working trips and outings to stimulate domestic tourism;2022-04-04
388;Sealy Thailand donated to the Covid-19 Prevention and Assistance Project of Ramathibodi Foundation;['THAILAND'];;» Due to the Covid-19 pandemic situation which has been continuing intensely, the prevention and care for people and society has been affected by this incident.  We Sealy Thailand under Jaspal & Sons Co., Ltd., the authorised manufacturing Licensee and distributor of Sealy Posturepedic decided to provide the support for the Covid-19 prevention and assistance project established by the faculty of medicine of Ramathibodi hospital and Ramathibodi foundation under the campaign of “SEALY CARES. Supports Your Life” which ran through from 25 June 2021 to 31 October 2021.;2022-04-04
389;Pipe dreams: Pakistan sewage workers hope for better future;['LIFE'];AFP;» LAHORE: Nearly naked and covered with a black, foul-smelling muck, Shafiq Masih struggles out of a sewer he has just cleaned by hand in an upmarket district of Lahore, Pakistan's second biggest city.;2022-04-04
390;UN to release handbook of climate change solutions;['WORLD'];AFP;"» PARIS: UN climate experts are set to release what is expected to be the definitive guide to halting global warming on Monday, in a report that lays out how societies and economies must transform to ensure a ""liveable"" future.";2022-04-04
391;War in Ukraine: Latest developments;['WORLD'];AFP;» KYIV, Ukraine: Here are the latest developments in the war in Ukraine:;2022-04-04
392;Chiang Mai, Pattaya want drinking hours extended;['BUSINESS'];News;» Restaurants in Pattaya and Chiang Mai want selling hours for alcohol extended until midnight or 1am during the Songkran holiday period to shore up their flagging business, suffering under Covid restrictions.;2022-04-04
393;Myanmar drinkers boycott military-owned beer brand;['WORLD'];AFP;» YANGON: When Japanese brewing giant Kirin called time on its Myanmar operations last month, the news made little difference to Kyaw Gyi -- like many drinkers, he had long boycotted the beer it produced with a military conglomerate.;2022-04-04
394;Season-defining days ahead for Liverpool, Man City's history bids;['SPORTS'];AFP;» MANCHESTER: Liverpool's quest for a quadruple and Manchester City's bid to match Manchester United's historic treble of 1999 are on a collision course over the next two weeks.;2022-04-04
395;Gang grilled over  Aussie drug bust;['THAILAND'];News;» A number of Thai and Cambodian nationals are being investigated in connection with a shipment of illegal drugs worth more than 1.38 billion baht, sent by air from Thailand to Melbourne on Feb 19, as authorities widen their probe.;2022-04-04
396;Rampant Spurs go fourth, West Ham leave Everton in relegation danger;['SPORTS'];AFP;» LONDON: Tottenham powered into fourth place in the Premier League with a 5-1 rout of Newcastle, while West Ham's 2-1 victory pushed Everton deeper into relegation trouble on Sunday.;2022-04-04
397;OAG eyes extradition pact with Asean;['THAILAND'];News;» The Office of the Attorney General (OAG) says it is seeking cooperation from 10 countries in Southeast Asia to establish a regional extradition convention to combat transnational crimes by 2024.;2022-04-04
398;Bucha mourns at mass graves in wreck of Russian retreat;['WORLD'];AFP;» BUCHA,Ukraine: The grieving of Bucha begins today, for those who can bear to face it.;2022-04-04
399;A way of life;['LIFE'];Life;» A resident of the Pgakenyaw community in northern Thailand, Nutdanai Trakansuphakon began an initiative to maintain, revive and promote rotational farming as a cultural practice tied to his Karen identity. In the process, he's helping raise awareness of its many benefits.;2022-04-04
400;Property Perfect enters clean energy business;['THAILAND'];;» As the use of clean energy is becoming a new normal in residences, Property Perfect expands into business related to the use of clean energy by partnering with “SCG Roofing, EVLOMO Technologies and SCB” to enter the business of solar rooftops and EV chargers at home together, starting with installation at residential units in the projects and expanding to those interested both in the projects and neighbouring communities.;2022-04-04
401;Land and building tax discount in effect for 2022;['BUSINESS'];Business;» The land and building tax is still offering a payment discount this year according to the law passed to ease the burden on landowners, says Finance Minister Arkhom Termpittayapaisith.;2022-04-04
402;Third person charged over Tangmo's death;['EASY NEWS'];Gary Boyle;"» Wisapat ""Sand"" Manomairat reported to police on Sunday and was charged in connection with the drowning death of actress Nida ""Tangmo"" Patcharaveerapong.";2022-04-04
403;Soft skills remain a hot topic;['BUSINESS'];;» More and more of the leaders I speak to are turning their attention to the topic of soft skills. Many have invested in technical and digital skills. Now, they are wondering where to start with the soft skills.;2022-04-04
404;Anantara Lawana Koh Samui Resort brings together  Michelin-starred gastronomy, royal thai dining and  a beachside fête for a memorable Songkran and Easter break;['THAILAND'];;» With Thai New Year celebrations and Easter falling on the same weekend this year, Anantara Lawana Koh Samui Resort is inviting holidaymakers and local epicureans to experience a five-day culinary programme in celebration of Songkran and Easter. With its stunning infinity pool and a prime location on the buzzing Chaweng Beach, the property promises endless fun for all, from sand-between-the-toes seaside gatherings to dining on oysters and langoustines in tree tops.;2022-04-04
405;Escapist retreat Anantara Bophut Koh samui doubles the fun  with joint Easter and Songkran celebrations;['THAILAND'];;» Special treats will include big Easter roast, Bangkok restaurant pop-up and bouncy castle fun;2022-04-04
406;The greatest generation party by High Flyer Asia celebrates ‘The House of High Flyers’ from Asia while eyeing greater global opportunities;['THAILAND'];;» Flying high after the crisis. Themed “Global Network Global Opportunities”, High Flyer Asia, Asia’s leading community for CEOs and Founders looking to grow globally, successfully organised (by far) its biggest party of the year – “The Greatest Generation Party – Celebrating the House of High Flyers 2022” at the prestigious EQ Hotel Kuala Lumpur, Malaysia on 31 March 2022.;2022-04-04
407;Viriyah Insurance reveals its strategy for the year 2022 highlighting “Data-driven Innovation: Standing by your side with complete understanding and in-depth knowledge of all your risks.”;['THAILAND'];;» The Viriyah Insurance announced its 2022 roadmap with the concept of “Data-driven Innovation: Standing by your side with complete understanding and in-depth knowledge of all your risks.” Maintaining its prestigious status as the number one non-life insurer, the company continually introduces state-of-the-art products and service with top-notch protection service in mind. As for this year’s motor insurance strategy, new products will be launched to meet the individual needs of customers in each region with various conditions and premiums. The company opts for personalised marketing when it comes to health insurance, offering products which respond to every unique demand. The past year’s objective was achieved with a gross earned premium of 38.8 billion Baht which contributed to a 1.56% growth. The company’s financial position remains strong with 77.5 billion Baht in total assets and a liquid asset ratio of 600.51%. A capital fund of approximately 41.4 billion Baht not only covered all COVID-19 claims that must be paid but also every one of the COVID-19 insurance policy issued by the company.;2022-04-04
408;The Fed takes the red pill;['BUSINESS'];Business;» The US Federal Reserve has finally acknowledged the reality of the inflation problem. The uncertainty raised by the Russia-Ukraine war did not stop it from raising rates at its March policy meeting, though it capped its first hike to just 25 basis points.;2022-04-04
409;World mustn't forget Myanmar;['OPINION'];Asia focus;» With all eyes focusing on the Russia-Ukraine war, Southeast Asia and the world should not forget about what has been going on in Myanmar. The military shows no signs of stopping its brutal campaign of violence against the people, who continue to fight for the democracy that was stolen from them 14 months ago.;2022-04-04
410;Netherlands coach Louis van Gaal diagnosed with prostate cancer;['SPORTS'];AFP;» THE HAGUE: Netherlands coach Louis van Gaal on Sunday revealed he has been diagnosed with prostate cancer, but he still plans to lead his team at the World Cup in Qatar in seven months' time.;2022-04-04
411;Hitting is never the answer;['LIFE'];Life;» Physical punishment, especially hitting children, seems to be normal for many Thai parents. On a popular webboard in Thailand, a post in 2021 asked readers when was the last time they were hit by parents. Readers shared their experiences, with some saying they were hit during primary school or junior high school days. The creator of the post wrote that her last memory of being hit by her father was when she was 20. Her father hit her very hard with a stick and cursed at her because he wanted her to do a household chore, but she did not immediately obey him. She said she just wanted to finish a cupcake before doing the chore. On the same webboard, many people also posted their experiences of corporal punishment from parents.;2022-04-04
412;Connecting Asean innovators to battle plastic waste;['BUSINESS'];Asia focus;» Southeast Asia is the world's largest source of marine plastic waste, a problem that poses acute risks to the region's environments, people and economies.;2022-04-04
413;Industry urges longer-term solutions;['BUSINESS'];Business;» The government should come up with not only short-term measures, but also medium and long-term plans to cope with the impact of the global oil price surge and the Russia-Ukraine war, according to industrialists in various sectors.;2022-04-04
414;Malaysia's digital challenges;['TECH'];Asia focus;» The digitisation of the global economy has been helping many businesses to thrive in ways not possible just a decade ago. At a time of fragile economic recovery, digital technologies such as e-commerce platforms can play an important role in promoting trade expansion, notably cross-border trade, as well as productivity gains.;2022-04-04
415;Economists Seek Recession Clues in the Yield Curve;['BUSINESS'];Business;» As yields on two-year Treasury notes last week moved above yields on 10-year notes, Wall Street analysts sent up warning flares.;2022-04-04
416;New Vehicles Must Get 49 Miles a Gallon by 2026;['BUSINESS'];Business;» Regulators at the National Highway Traffic Safety Administration on Friday set higher fuel-economy standards for new passenger cars and light trucks.;2022-04-04
417;Bad sport;['OPINION'];News;» I wish to thank TrueVisions for showing such concern for my health. Not so long ago I would often stay up late or get up early to watch live sports and other programming from the US. But now I can go to bed early and sleep in thanks to the continued evisceration of the US sports schedule.;2022-04-04
418;It's smiles and laughter for Jeen;['SPORTS'];Sports;» Most golf fans believed an LPGA victory was only a matter of time for Thailand's 19-year-old Atthaya Thitikul and she duly obliged last Sunday on only her fifth outing on the tour in her rookie season.;2022-04-04
419;Book a stay in Phuket's iconic Governor's Mansion;['TRAVEL'];Life;» To celebrate the Thai New Year and welcome international travellers back to the Kingdom, the splendid Governor's Mansion in Phuket -- the largest icon of Sino-Portuguese baroque architecture -- will be listed on Airbnb for the ultimate designer stay for the first time.;2022-04-04
420;Sundell faces Buntan in inaugural strawweight bout;['SPORTS'];Sports;"» Smilla ""The Hurricane"" Sundell and Jackie Buntan will fight for the inaugural One women's strawweight Muay Thai world championship in the co-main event of One: Reloaded on April 22 at the Singapore Indoor Stadium.";2022-04-04
421;Depa forms alliance to drive 5G adoption;['BUSINESS'];Business;» The Digital Economy Promotion Agency (Depa) and the Telecommunications Association of Thailand have signed an agreement to accelerate the spread and usage of 5G across as many business sectors as possible.;2022-04-04
422;Food processors urge tariff waiver on metals;['BUSINESS'];Business;» Thai food processors and the Thai Chamber of Commerce have called for an extension of anti-dumping (AD) duty waivers on tin plate and tin-free steel, used widely in canned food, for at least six months to help offset the impact of rising steel prices and their production costs.;2022-04-04
423;Government preps incentives for 4 new economic corridors;['BUSINESS'];Business;» The government looks set to settle investment incentives for four new economic corridors in four regions next month, a move aimed at increasing investment in the areas.;2022-04-04
424;Omicron XE wave 'likely to be mild';['EASY NEWS'];Gary Boyle;» The Public Health Ministry on Sunday played down concerns raised by the first case of the XE Covid-19 strain in the country, saying there is no need to panic.;2022-04-04
425;How new tech can help forge trust;['OPINION'];News;» Twitter recently added a feature that lets users identify themselves with an NFT picture, distinguished by a new hexagonal border, rather than just a regular profile photo. An NFT (short for non-fungible token) is a digital commodity, typically an image, whose ownership is recorded on a ledger stored on a blockchain.;2022-04-04
